Title,Organizations,Publication Year,Abstracts
Cross-sectoral analysis of water usage in Thailand using input–output model,"Chulalongkorn University, Thammasat University",2022,"© 2018, Chulalongkorn University. All rights reserved.Thailand currently ranks third among the most water-intensive countries in the world. The percentage shares of water demand in the country’s agriculture, manufacturing, and service sectors, which are major economic sectors, are 75%, 3%, and 5%, respectively. With the continuous growth of the economy, the demand for water is steadily rising, while the expansion of water supply remains constrained by several factors and the water supply is also affected by climate change. This study uses the input–output model to examine the relationship between water usage and the economic system in Thailand in 2010. The constructed input–output model is the integration of the Leontief inverse matrix, the matrix of water usage, and the details of the gross domestic product (GDP). The model indicates the linkage between GDP expansion and water demand in both direct and indirect usage. The computation result obtained from the model indicates that the agricultural sector is the major water user, with its ratio of direct water use being the highest. The manufacturing sector records the highest ratio of indirect water use, which is influenced by its supply chain comprising the agriculture and service sectors. This model and its results may serve as the main foundation for the design of economic and environmental policies oriented toward optimizing water demand and supply. The model can also be extended and enriched with detailed mechanisms of economic behavior to allow further complex analyzes such as water pricing policies."
Relationships between causal factors affecting future carbon dioxide output from Thailand's transportation sector under the government's sustainability policy: Expanding the SEM-VECM model,Chulalongkorn University,2020,"© 2019 by the authors.This research aims to analyze the relationships between causal factors likely to affect future CO2 emissions from the Thai transportation sector by developing the Structural Equation Modeling-Vector Autoregressive Error Correction Mechanism Model (SEM-VECM Model). This model was created to fill information gaps of older models. In addition, the model provides the unique feature of viable model application for different sectors in various contexts. The model revealed all exogenous variables that have direct and indirect influences over changes in CO2 emissions. The variables show a direct effect at a confidence interval of 99%, including per capita GDP (Δln(GDP)t-1), labor growth (Δln(L)t-1), urbanization rate factor (Δln(URT)t-1), industrial structure (Δln(IS)t-1), energy consumption (Δln(EC)t-1), foreign direct investment (Δln(FDI)t-1), oil price (Δln(OP)t-1), and net exports (Δln(X - E)t-1). In addition, it was found that every variable in the SEM-VECM model has an indirect effect on changes in CO2 emissions at a confidence interval of 99%. The SEM-VECM model has the ability to adjust to the equilibrium equivalent to 39%. However, it also helps to identify the degree of direct effect that each causal factor has on the others. Specifically, labor growth (Δln(L)t-1) had a direct effect on per capita GDP (Δln(GDP)t-1) and energy consumption (Δln(EC)t-1) at a confidence interval of 99%, while urbanization rate (Δln(URT)t-1) had a direct effect on per capita GDP (Δln(GDP)t-1), labor growth (Δln(L)t-1), and net exports (Δln(X - E)t-1) at a confidence interval of 99%. Furthermore, industrial structure (Δln(IS)t-1) had a direct effect on per capita GDP (Δln(GDP)t-1) at a confidence interval of 99%, whereas energy consumption (Δln(EC)t-1) had a direct effect on per capita GDP (Δln(GDP)t-1) at a confidence interval of 99%. Foreign direct investment (Δln(FDI)t-1) had a direct effect on per capita GDP (Δln(GDP)t-1) at a confidence interval of 99%, while oil price (Δln(OP)t-1) had a direct effect on industrial structure (Δln(IS)t-1), energy consumption (Δln(EC)t-1), and net exports (Δln(X - E)t-1) at a confidence interval of 99%. Lastly, net exports (Δln(X - E)t-1) had a direct effect on per capita GDP (Δln(GDP)t-1) at a confidence interval of 99%. The model eliminates the problem of heteroskedasticity, multicollinearity, and autocorrelation. In addition, it was found that the model is white noise. When the SEM-VECM Model was used for 30-year forecasting (2018-2047), it projected that CO2 emissions would increase steadily by 67.04% (2047/2018) or 123.90 Mt CO2 Eq. by 2047. The performance of the SEM-VECM Model was assessed and produced a mean absolute percentage error (MAPE) of 1.21% and root mean square error (RMSE) of 1.02%. When comparing the performance value with the values of other, older models, the SEM-VECM Model was found to be more effective and useful for future research and policy planning for Thailand's sustainability goals."
A Study on the Evaluation Tendency of Thermal Sensation in Tropical Region - Targeting short time residents - Targeting s,"Chulalongkorn University, Sugiyama Jogakuen University, Meijo University, Kure National College of Technology, Osaka Prefecture University, Ariake National College of Technology, JR East Design Corporation",2022,"© 2018 Web Portal IOP. All rights reserved.Climate change is getting more and more serious issue in the world. This is known as caused by the increase of carbon dioxide. To stop the increase, many countries agreed to the Paris Agreement in 2015. When to discuss the climate change, temperature drop and increase are focused more often. The big change of the temperature, especially the rise of the temperature, causes the more usage of air conditioning system, and it also causes more energy consumption. In addition, the usage of the air conditioning system is affected by both indoor and outdoor thermal environment. The temperature setting of air conditioning system tends to be lower in the countries situated in tropical region than the countries in the other region. This happens because the thermal sensation of human is easily affected by the outdoor environment. For that reason, to grasp the tendency of thermal sensation in outdoor space is important. In addition, the tendency of short time residence is necessary to wipe out the influence of the thermal environment adjustment by long time living. For that reason, this research targeted the thermal evaluation tendency of short time residents in Bangkok and carried out subject experiments in outdoor spaces to develop landscape design method. As the result of analysis, a different tendency was grasped at one of the measuring points with open sky."
A Study on the Effect of Environment Sound on Human Thermal Sensation,"Kyushu Sangyo University, Sugiyama Jogakuen University, Chulalongkorn University, Meijo University, Kure National College of Technology, Osaka Prefecture University, Ariake National College of Technology, JR East Design Corporation",2022,"© 2018 Web Portal IOP. All rights reserved.In recent years, there have been several devastations caused by the global climate change. Global climate change is considered as relating to the global warming and is becoming a serious problem. Global warming is related to the increase of carbon dioxide. The increase of the carbon dioxide is caused by the energy consumption increase. In addition, air conditioning dominates the large ratio of the energy consumption. Furthermore, according to the huge earthquake happened on March 11, 2011 in Japan, the country's energy policy is facing a turning point, which is to establish less harmful and less energy based society than ever. For that reason, to decrease the energy consumption, how to reduce the energy consumption by the air-conditioning is an important issue. There have been several research relating to the topic. However, those researches did not study on the effect of the environment sound on the human thermal sensation. For that reason, the purpose of this research is to clarify the effect of environment sound on human thermal sensation. As the result of this study, the environment sounds, such as ""Rain"" ""Stream"" ""Water Bamboo"" showed the effect to lower the human thermal sensation."
Water balance of pine forests: Synthesis of new and published results,"Chulalongkorn University, Duke University, Swedish University of Agricultural Sciences (SLU), University of Helsinki, Indiana University, USDA Forest Service Coweeta Hydrologic Laboratory, SLU",2023,"© 2018 Elsevier B.V.The forest hydrologic cycle is expected to have important feedback responses to climate change, impacting processes ranging from local water supply and primary productivity to global water and energy cycles. Here, we analyzed water budgets of pine forests worldwide. We first estimated local water balance of forests dominated by two wide-ranging species: Pinus taeda (36 °N) and Pinus sylvestris (64 °N). In these stands, growing season evapotranspiration (ET) was largely insensitive to inter-annual variation of precipitation (P), consistent with the insensitivity of canopy transpiration to P. Extending the analyses to include published data from 117 studies on 27 pine species, we found that pine forests annually use ∼66% ± 17% (SD) of P as ET, regardless of climatic regime, leaving a third of P as runoff to downstream aquatic ecosystems and users. However, during the growing season, pine forests used more water as ET than P in regions where P ≤ 326 ± 39 (SE) mm. Forests in regions of low growing season P exist in their current state only where the rooting depth is sufficient to supply trees with water from soil storage in addition to P, and these forests are likely to support only ephemeral streams that dry down during the growing season. Thus, globally, water use by pine forests is adapted to mean annual P, but shows a limited capacity to respond to inter-annual variability in P. Forests with a small buffer of growing season water availability (P + soil water storage - ET), are likely to be most sensitive to variation in P regimes, changing canopy leaf area, tree density, and species composition depending on the degree, direction and persistence of the change in P."
The SISAL database: A global resource to document oxygen and carbon isotope records from speleothems,"Reading University, University College Dublin, Johannes-Gutenberg-University Mainz, University of New South Wales, Royal Holloway University of London, University of Oxford, CSIR - National Geophysical Research Institute, Xi'An Jiaotong University, Desert Research Institute, University of Melbourne, Arizona State University, Hebrew University of Jerusalem, Geological Survey of Israel, Chulalongkorn University, University of Chinese Academy of Sciences, Hungarian Academy of Sciences, University of Southern California, University of Bremen, University of Nevada, National Institute of Water and Atmospheric Research, Pyrenean Institute of Ecology (IPE-CSIC), University of Cape Town, University of Massachusetts Amherst, Jamia Millia Islamia",2023,"© Author(s) 2018.Stable isotope records from speleothems provide information on past climate changes, most particularly information that can be used to reconstruct past changes in precipitation and atmospheric circulation. These records are increasingly being used to provide <q>out-of-sample</q> evaluations of isotope-enabled climate models. SISAL (Speleothem Isotope Synthesis and Analysis) is an international working group of the Past Global Changes (PAGES) project. The working group aims to provide a comprehensive compilation of speleothem isotope records for climate reconstruction and model evaluation. The SISAL database contains data for individual speleothems, grouped by cave system. Stable isotopes of oxygen and carbon (18O, 13C) measurements are referenced by distance from the top or bottom of the speleothem. Additional tables provide information on dating, including information on the dates used to construct the original age model and sufficient information to assess the quality of each data set and to erect a standardized chronology across different speleothems. The metadata table provides location information, information on the full range of measurements carried out on each speleothem and information on the cave system that is relevant to the interpretation of the records, as well as citations for both publications and archived data. The compiled data are available at <a hrefCombining double low line""https://doi.org/10.17864/1947.147."
An assessment of the longevity of samarium cobalt trioxide perovskite catalyst during the conversion of greenhouse gases into syngas,"Universiti Malaysia Pahang, Universiti Malaysia Pahang, University of Benin, University Malaysia Terengganu, Chulalongkorn University",2021,"© 2018 Elsevier LtdCatalytic carbon dioxide (CO2) reforming of methane (CH4) has gained interest because it reduces the amount of greenhouse gases in the environment. In addition, the products from the reforming process are utilized as feedstock in the Fischer-Tropsch synthesis. However, rapid catalyst deactivation and sintering due to carbon deposition often accompany the CO2 reforming of CH4 reaction. In this study, samarium cobalt trioxides perovskite catalyst was synthesized and employed as catalyst in a 72 h longevity test conducted at 1073 K using CO2 to reform CH4 with gas-hourly-space velocity of 30,000 h−1. Feed ratios (0.5–2.0) were varied and excellent catalytic longevity, maximum conversion (above 90%) and yield (above 60%), were obtained at 1.0 feed ratio. Physicochemical properties of the fresh catalyst revealed uniform metallic particles distribution on a single phase perovskite structure, while spent catalyst showed evidence of carbon which was graphitic at 0.5–1.33 feed ratio with C–C and C–H bonds, and formed contaminant of carbon at 2.0 feed ratio with O–C[dbnd]O bond."
Liver fluke-associated biliary tract cancer,Chulalongkorn University Faculty of Medicine,2021,"© 2018 Editorial Office of Gut and Liver. All rights reserved.Cholangiocarcinoma (CCA) is an aggressive cancer arising from epithelial cells of the bile duct. Most patients with CCA have an unresectable tumor at the time of diagnosis. In Western countries, the risk of CCA increases in patients with primary sclerosing cholangitis, whereas liver fluke infection appears to be the major risk factor for CCA in Asian countries. A diagnosis of liver fluke infection often relies on stool samples, including microscopic examination, polymerase chain reaction-based assays, and fluke antigen detection. Tests of serum, saliva and urine samples are also potentially diagnostic. The presence of liver fluke along with exogenous carcinogens magnifies the risk of CCA in people living in endemic areas. The ""liver fluke-cholangiocarcinoma"" carcinogenesis pathways consist of mechanical damage to the bile duct epithelium, immunopathologic and cellular reactions to the liver fluke's antigens and excretory/secretory products, liver fluke-induced changes in the biliary tract microbiome and the effects of repeated treatment for liver fluke. A vaccine and novel biomarkers are needed for the primary and secondary prevention of CCA in endemic areas. Importantly, climate change exerts an effect on vector-borne parasitic diseases, and awareness of liver fluke should be enhanced in potentially migrated habitat areas."
Potential of carbon dioxide storage from petroleum industries in the Gulf of Thailand for green production,Chulalongkorn University,2020,"© 2018 Published under licence by IOP Publishing Ltd.Recently, climate change and global warming are the global concern because of an increase in the huge amount of carbon dioxide (CO2) in the atmosphere. This gas comes from energy activities and industries like petroleum industries. Carbon capture and storage (CCS) is the practical technology to reduce and storage CO2. In Thailand, one of the main potential sites for storage is the Gulf of Thailand. However, the research on this issue is very rare in Thailand. Consequently, this work is aiming on the potential study of CO2 geological storage in formations in the Gulf of Thailand by using simulation. The CO2 storage capacity, pressure buildup and plume migration have been estimated. Also, this study has been simulated with various conditions. CO2 injection is used from 1,000-4,000 tons per day with the depth from 2,200-2,330 meters and the results are studied for 50 years as a monitoring period. The results present that with the formation characteristics, CO2 storage in this area has potential. Moreover, pressure buildup and plume migration are illustrated for the period of 50 years. As a fundamental knowledge, this study can contribute to CO2 storage in an offshore area in Thailand."
Key factors of low carbon development strategy for sustainable transport,"Chulalongkorn University, Chulalongkorn University",2022,"© Published under licence by IOP Publishing Ltd.Cities become more vulnerable to climate change impacts causing by urbanization, economic growth, increasing of energy consumption and carbon dioxide (CO2) emissions. People who live in the cities have already been affected from the impacts in terms of socioeconomic and environmental aspects. Sustainable transport plays the key role in CO2 mitigation and contributes positive impacts on sustainable development for the cities. Several studies in megacities both in developed and developing countries support that mass transit system is an important transportation mode in CO2 mitigation and sustainable transport development. This paper aims to study key factors of low carbon development strategy for sustainable transport. The Bangkok Mass Rapid Transit System (MRT) located in Bangkok was the study area. Data collection was using semi-structured in-depth interview protocol with thirty respondents consisting of six groups i.e. governmental agencies, the MRT operators, consulting companies, international organizations, non-profit organizations, and experts. The research findings highlighted the major factors and supplemental elements composing of institution and technical capacity, institutional framework, policy setting and process, and plan of implementation that would support more effective strategic process for low carbon development strategy (LCDS) for sustainable transport. The study would highly recommend on readiness of institution and technical capacities, stakeholder mapping, high-level decision- makers participation, and a clear direction of the governmental policies that are strongly needed in achieving the sustainable transport."
