Organizations,Processed_Abstracts
"Chulalongkorn University, Thammasat University",2018 chulalongkorn university rights reservedthailand currently ranks third among waterintensive countries world percentage shares water demand country’s agriculture manufacturing service sectors major economic sectors 75 3 5 respectively continuous growth economy demand water steadily rising expansion water supply remains constrained several factors water supply also affected climate change study uses input–output model examine relationship water usage economic system thailand 2010 constructed input–output model integration leontief inverse matrix matrix water usage details gross domestic product gdp model indicates linkage gdp expansion water demand direct indirect usage computation result obtained model indicates agricultural sector major water user ratio direct water use highest manufacturing sector records highest ratio indirect water use influenced supply chain comprising agriculture service sectors model results may serve main foundation design economic environmental policies oriented toward optimizing water demand supply model also extended enriched detailed mechanisms economic behavior allow complex analyzes water pricing policies
Chulalongkorn University,2019 authorsthis research aims analyze relationships causal factors likely affect future co2 emissions thai transportation sector developing structural equation modelingvector autoregressive error correction mechanism model semvecm model model created fill information gaps older models addition model provides unique feature viable model application different sectors various contexts model revealed exogenous variables direct indirect influences changes co2 emissions variables show direct effect confidence interval 99 including per capita gdp δlngdpt1 labor growth δlnlt1 urbanization rate factor δlnurtt1 industrial structure δlnist1 energy consumption δlnect1 foreign direct investment δlnfdit1 oil price δlnopt1 net exports δlnx et1 addition found every variable semvecm model indirect effect changes co2 emissions confidence interval 99 semvecm model ability adjust equilibrium equivalent 39 however also helps identify degree direct effect causal factor others specifically labor growth δlnlt1 direct effect per capita gdp δlngdpt1 energy consumption δlnect1 confidence interval 99 urbanization rate δlnurtt1 direct effect per capita gdp δlngdpt1 labor growth δlnlt1 net exports δlnx et1 confidence interval 99 furthermore industrial structure δlnist1 direct effect per capita gdp δlngdpt1 confidence interval 99 whereas energy consumption δlnect1 direct effect per capita gdp δlngdpt1 confidence interval 99 foreign direct investment δlnfdit1 direct effect per capita gdp δlngdpt1 confidence interval 99 oil price δlnopt1 direct effect industrial structure δlnist1 energy consumption δlnect1 net exports δlnx et1 confidence interval 99 lastly net exports δlnx et1 direct effect per capita gdp δlngdpt1 confidence interval 99 model eliminates problem heteroskedasticity multicollinearity autocorrelation addition found model white noise semvecm model used 30year forecasting 20182047 projected co2 emissions increase steadily 6704 20472018 12390 mt co2 eq 2047 performance semvecm model assessed produced mean absolute percentage error mape 121 root mean square error rmse 102 comparing performance value values older models semvecm model found effective useful future research policy planning thailands sustainability goals
"Chulalongkorn University, Sugiyama Jogakuen University, Meijo University, Kure National College of Technology, Osaka Prefecture University, Ariake National College of Technology, JR East Design Corporation",2018 web portal iop rights reservedclimate change getting serious issue world known caused increase carbon dioxide stop increase many countries agreed paris agreement 2015 discuss climate change temperature drop increase focused often big change temperature especially rise temperature causes usage air conditioning system also causes energy consumption addition usage air conditioning system affected indoor outdoor thermal environment temperature setting air conditioning system tends lower countries situated tropical region countries region happens thermal sensation human easily affected outdoor environment reason grasp tendency thermal sensation outdoor space important addition tendency short time residence necessary wipe influence thermal environment adjustment long time living reason research targeted thermal evaluation tendency short time residents bangkok carried subject experiments outdoor spaces develop landscape design method result analysis different tendency grasped one measuring points open sky
"Kyushu Sangyo University, Sugiyama Jogakuen University, Chulalongkorn University, Meijo University, Kure National College of Technology, Osaka Prefecture University, Ariake National College of Technology, JR East Design Corporation",2018 web portal iop rights reservedin recent years several devastations caused global climate change global climate change considered relating global warming becoming serious problem global warming related increase carbon dioxide increase carbon dioxide caused energy consumption increase addition air conditioning dominates large ratio energy consumption furthermore according huge earthquake happened march 11 2011 japan countrys energy policy facing turning point establish less harmful less energy based society ever reason decrease energy consumption reduce energy consumption airconditioning important issue several research relating topic however researches study effect environment sound human thermal sensation reason purpose research clarify effect environment sound human thermal sensation result study environment sounds rain stream water bamboo showed effect lower human thermal sensation
"Chulalongkorn University, Duke University, Swedish University of Agricultural Sciences (SLU), University of Helsinki, Indiana University, USDA Forest Service Coweeta Hydrologic Laboratory, SLU",2018 elsevier bvthe forest hydrologic cycle expected important feedback responses climate change impacting processes ranging local water supply primary productivity global water energy cycles analyzed water budgets pine forests worldwide first estimated local water balance forests dominated two wideranging species pinus taeda 36 °n pinus sylvestris 64 °n stands growing season evapotranspiration et largely insensitive interannual variation precipitation p consistent insensitivity canopy transpiration p extending analyses include published data 117 studies 27 pine species found pine forests annually use ∼66 ± 17 sd p et regardless climatic regime leaving third p runoff downstream aquatic ecosystems users however growing season pine forests used water et p regions p ≤ 326 ± 39 se mm forests regions low growing season p exist current state rooting depth sufficient supply trees water soil storage addition p forests likely support ephemeral streams dry growing season thus globally water use pine forests adapted mean annual p shows limited capacity respond interannual variability p forests small buffer growing season water availability p soil water storage et likely sensitive variation p regimes changing canopy leaf area tree density species composition depending degree direction persistence change p
"Reading University, University College Dublin, Johannes-Gutenberg-University Mainz, University of New South Wales, Royal Holloway University of London, University of Oxford, CSIR - National Geophysical Research Institute, Xi'An Jiaotong University, Desert Research Institute, University of Melbourne, Arizona State University, Hebrew University of Jerusalem, Geological Survey of Israel, Chulalongkorn University, University of Chinese Academy of Sciences, Hungarian Academy of Sciences, University of Southern California, University of Bremen, University of Nevada, National Institute of Water and Atmospheric Research, Pyrenean Institute of Ecology (IPE-CSIC), University of Cape Town, University of Massachusetts Amherst, Jamia Millia Islamia",authors 2018stable isotope records speleothems provide information past climate changes particularly information used reconstruct past changes precipitation atmospheric circulation records increasingly used provide qoutofsampleq evaluations isotopeenabled climate models sisal speleothem isotope synthesis analysis international working group past global changes pages project working group aims provide comprehensive compilation speleothem isotope records climate reconstruction model evaluation sisal database contains data individual speleothems grouped cave system stable isotopes oxygen carbon 18o 13c measurements referenced distance top bottom speleothem additional tables provide information dating including information dates used construct original age model sufficient information assess quality data set erect standardized chronology across different speleothems metadata table provides location information information full range measurements carried speleothem information cave system relevant interpretation records well citations publications archived data compiled data available hrefcombining double low linehttpsdoiorg10178641947147
"Universiti Malaysia Pahang, Universiti Malaysia Pahang, University of Benin, University Malaysia Terengganu, Chulalongkorn University",2018 elsevier ltdcatalytic carbon dioxide co2 reforming methane ch4 gained interest reduces amount greenhouse gases environment addition products reforming process utilized feedstock fischertropsch synthesis however rapid catalyst deactivation sintering due carbon deposition often accompany co2 reforming ch4 reaction study samarium cobalt trioxides perovskite catalyst synthesized employed catalyst 72 h longevity test conducted 1073 k using co2 reform ch4 gashourlyspace velocity 30000 h−1 feed ratios 05–20 varied excellent catalytic longevity maximum conversion 90 yield 60 obtained 10 feed ratio physicochemical properties fresh catalyst revealed uniform metallic particles distribution single phase perovskite structure spent catalyst showed evidence carbon graphitic 05–133 feed ratio c–c c–h bonds formed contaminant carbon 20 feed ratio o–cdbndo bond
Chulalongkorn University Faculty of Medicine,2018 editorial office gut liver rights reservedcholangiocarcinoma cca aggressive cancer arising epithelial cells bile duct patients cca unresectable tumor time diagnosis western countries risk cca increases patients primary sclerosing cholangitis whereas liver fluke infection appears major risk factor cca asian countries diagnosis liver fluke infection often relies stool samples including microscopic examination polymerase chain reactionbased assays fluke antigen detection tests serum saliva urine samples also potentially diagnostic presence liver fluke along exogenous carcinogens magnifies risk cca people living endemic areas liver flukecholangiocarcinoma carcinogenesis pathways consist mechanical damage bile duct epithelium immunopathologic cellular reactions liver flukes antigens excretorysecretory products liver flukeinduced changes biliary tract microbiome effects repeated treatment liver fluke vaccine novel biomarkers needed primary secondary prevention cca endemic areas importantly climate change exerts effect vectorborne parasitic diseases awareness liver fluke enhanced potentially migrated habitat areas
Chulalongkorn University,2018 published licence iop publishing ltdrecently climate change global warming global concern increase huge amount carbon dioxide co2 atmosphere gas comes energy activities industries like petroleum industries carbon capture storage ccs practical technology reduce storage co2 thailand one main potential sites storage gulf thailand however research issue rare thailand consequently work aiming potential study co2 geological storage formations gulf thailand using simulation co2 storage capacity pressure buildup plume migration estimated also study simulated various conditions co2 injection used 10004000 tons per day depth 22002330 meters results studied 50 years monitoring period results present formation characteristics co2 storage area potential moreover pressure buildup plume migration illustrated period 50 years fundamental knowledge study contribute co2 storage offshore area thailand
"Chulalongkorn University, Chulalongkorn University",published licence iop publishing ltdcities become vulnerable climate change impacts causing urbanization economic growth increasing energy consumption carbon dioxide co2 emissions people live cities already affected impacts terms socioeconomic environmental aspects sustainable transport plays key role co2 mitigation contributes positive impacts sustainable development cities several studies megacities developed developing countries support mass transit system important transportation mode co2 mitigation sustainable transport development paper aims study key factors low carbon development strategy sustainable transport bangkok mass rapid transit system mrt located bangkok study area data collection using semistructured indepth interview protocol thirty respondents consisting six groups ie governmental agencies mrt operators consulting companies international organizations nonprofit organizations experts research findings highlighted major factors supplemental elements composing institution technical capacity institutional framework policy setting process plan implementation support effective strategic process low carbon development strategy lcds sustainable transport study highly recommend readiness institution technical capacities stakeholder mapping highlevel decision makers participation clear direction governmental policies strongly needed achieving sustainable transport
